#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Customentity|identifiier|value


#Text=WEYMOUTH:—W£DN ESDA V, April 4 
#Text=Fashionable Arrivals.
1-1	0-8	WEYMOUTH	https://en.wikipedia.org/wiki/Weymouth,\_Dorset	LOC	
1-2	8-9	:	_	_	
1-3	9-10	—	_	_	
1-4	10-11	W	_	_	
1-5	11-12	£	_	_	
1-6	12-14	DN	_	_	
1-7	15-19	ESDA	_	_	
1-8	20-21	V	_	_	
1-9	21-22	,	_	_	
1-10	23-28	April	_	_	
1-11	29-30	4	_	_	
1-12	32-43	Fashionable	_	_	
1-13	44-52	Arrivals	_	_	
1-14	52-53	.	_	_	

#Text=—Lady Mulcaster.
2-1	53-54	—	_	_	
2-2	54-58	Lady	_	_	
2-3	59-68	Mulcaster	_	_	
2-4	68-69	.	_	_	

#Text=Sir F. and Lady Cooper, Dr.
3-1	70-73	Sir	_	_	
3-2	74-75	F	_	_	
3-3	75-76	.	_	_	
3-4	77-80	and	_	_	
3-5	81-85	Lady	_	_	
3-6	86-92	Cooper	_	_	
3-7	92-93	,	_	_	
3-8	94-96	Dr	_	_	
3-9	96-97	.	_	_	

#Text=Jcwne, Colonel Cleaveley, Captains Harvey, Scudamore and Alardonuld, Kevs.
4-1	98-103	Jcwne	_	_	
4-2	103-104	,	_	_	
4-3	105-112	Colonel	_	_	
4-4	113-122	Cleaveley	_	_	
4-5	122-123	,	_	_	
4-6	124-132	Captains	_	_	
4-7	133-139	Harvey	_	_	
4-8	139-140	,	_	_	
4-9	141-150	Scudamore	_	_	
4-10	151-154	and	_	_	
4-11	155-165	Alardonuld	_	_	
4-12	165-166	,	_	_	
4-13	167-171	Kevs	_	_	
4-14	171-172	.	_	_	

#Text=Mr.
5-1	173-175	Mr	_	_	
5-2	175-176	.	_	_	

#Text=Farquharson, Case, Gat ter, Hammond.
6-1	177-188	Farquharson	_	_	
6-2	188-189	,	_	_	
6-3	190-194	Case	_	_	
6-4	194-195	,	_	_	
6-5	196-199	Gat	_	_	
6-6	200-203	ter	_	_	
6-7	203-204	,	_	_	
6-8	205-212	Hammond	_	_	
